pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_insol,pl_orbsmax,pl_dens,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1404 b,Kepler-1404,Transit,2016,15.9314739,2.01,4.7,596.0,39.001,0.1143,3.18,5261.0,0.8,0.84,962.183,1,1
Kepler-198 d,Kepler-198,Transit,2016,1.31184443,1.53,2.96,1562.0,1444.516,0.02342,4.54,5636.0,0.93,0.97,495.358,3,1
Kepler-192 d,Kepler-192,Transit,2016,6.47027579,1.02,1.04,926.0,186.076,0.0686,5.39,5487.0,0.94,0.94,651.674,3,1
Kepler-1572 b,Kepler-1572,Transit,2016,5.49548621,0.94,0.779,1293.0,583.523,0.05838,5.15,5618.0,0.95,0.97,946.602,1,1
Kepler-1574 b,Kepler-1574,Transit,2016,6.9424334,1.29,2.21,1003.0,289.778,0.0743,5.66,5892.0,1.08,1.06,1384.16,1,1
Kepler-578 b,Kepler-578,Transit,2016,1.616883696,2.0,4.66,1774.0,496.898,0.0266,3.2,5334.0,0.83,0.87,541.432,1,1
Kepler-1406 b,Kepler-1406,Transit,2016,11.62905828,1.1,1.37,854.0,125.89,0.0987,5.66,5892.0,1.12,1.05,572.403,1,1
Kepler-1407 b,Kepler-1407,Transit,2016,20.0711504,2.25,5.69,826.0,78.667,0.1502,2.74,6010.0,1.15,1.1,1396.41,1,1
Kepler-625 c,Kepler-625,Transit,2016,4.1653651,1.05,1.16,1048.0,932.132,0.05379,5.51,5789.0,0.96,1.04,760.708,2,1
Kepler-1245 c,Kepler-1245,Transit,2016,2.936584681,1.44,2.67,1190.0,328.984,0.0372,4.91,5306.0,0.83,0.86,805.936,2,1
Kepler-689 b,Kepler-689,Transit,2016,22.36656079,2.89,8.7,536.0,35.337,0.1449,1.98,5518.0,0.88,0.91,1131.73,1,1
Kepler-1408 b,Kepler-1408,Transit,2016,2.99793191,0.89,0.64,1616.0,1982.268,0.04218,4.99,6170.0,1.35,1.21,535.048,1,1
Kepler-1411 b,Kepler-1411,Transit,2016,86.1150888,2.82,8.35,441.0,8.927,0.4001,2.05,5664.0,0.92,0.95,1660.48,1,1
Kepler-1542 b,Kepler-1542,Transit,2016,3.95116882,0.76,0.363,1160.0,518.437,0.04765,4.54,5564.0,0.99,0.94,399.114,4,1
